iter	RMSE
0	0.0006151598306
1	0.0006016417907
2	0.0005889829792
3	0.0005768157827
4	0.0005653251843
5	0.0005548137493
6	0.0005448254499
7	0.000535485146
8	0.0005268777835
9	0.0005184586052
10	0.0005106342228
11	0.000503288236
12	0.0004963389361
13	0.0004897049319
14	0.0004836239911
15	0.0004776202723
16	0.0004721558677
17	0.0004668778699
18	0.0004622360782
19	0.0004578854726
20	0.0004532552533
21	0.0004491878906
22	0.0004448236867
23	0.0004412735826
24	0.0004378413742
25	0.0004340139794
26	0.0004306183624
27	0.0004275927749
28	0.0004247367647
29	0.0004216424327
30	0.0004188025074
31	0.0004163476935
32	0.0004133868925
33	0.0004108806619
34	0.0004080104666
35	0.00040607059
36	0.0004029024831
37	0.000401266494
38	0.0003986322165
39	0.0003971764022
40	0.0003957723815
41	0.0003927669873
42	0.0003915572619
43	0.0003893914836
44	0.0003881419375
45	0.0003854556108
46	0.0003843608992
47	0.0003826621225
48	0.000381264731
49	0.0003802240457
50	0.0003794101215
51	0.000377126265
52	0.000376297756
53	0.0003739827326
54	0.0003727490991
55	0.0003720888695
56	0.0003710996235
57	0.0003691412834
58	0.0003676076488
59	0.0003662609322
60	0.0003642007784
61	0.0003621426087
62	0.0003613494924
63	0.0003606131592
64	0.0003598872757
65	0.0003583352503
66	0.000357640478
67	0.0003563177736
68	0.0003549717935
69	0.0003537500817
70	0.0003529031433
71	0.0003518429483
72	0.0003509680568
73	0.0003496152027
74	0.0003488473313
75	0.0003481414639
76	0.0003471788998
77	0.0003462884031
78	0.0003457135683
79	0.0003448558395
80	0.0003440213858
81	0.0003429192513
82	0.0003422293954
83	0.000341289677
84	0.0003403570432
85	0.0003394517323
86	0.0003388105609
87	0.0003381247212
88	0.0003374675296
89	0.0003366600025
90	0.0003364021659
91	0.0003360046731
92	0.0003357778321
93	0.0003351981357
94	0.0003348554901
95	0.0003342773589
96	0.0003337413186
97	0.0003335356834
98	0.0003330892058
99	0.0003328927858
100	0.000332711967
101	0.0003324561651
102	0.0003317978611
103	0.0003310039338
104	0.0003308194756
105	0.0003303928633
106	0.0003302063756
107	0.0003294946664
108	0.0003289319133
109	0.0003287446993
110	0.0003282485816
111	0.0003280789717
112	0.0003279149261
113	0.0003274069766
114	0.0003270226807
115	0.0003268286472
116	0.0003266843762
117	0.0003262502055
118	0.000325608896
